choco_bar_name,company_name,rating,comapany_loc,cocoa_perc,bean_type,bean_origin,company_flavor,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality
Brazil 70%,Choklat,2.5,Canada,70.0,Amazon,Brazil,Fruits,33.0,58.0,49.0,27.0,60.0,44.0,55.0,49.0,68.0,96.0,78.0,62.7,82.2,71.5
Tobago Estate,Pralus,3.5,France,70.0,Trinitario,Tobago,Fruits,72.0,61.0,52.0,14.0,76.0,68.0,55.0,80.0,63.0,84.0,91.0,72.0,90.4,86.5
Complexité,Guittard,4.0,USA,70.0,Blend,,Crossover,76.0,47.0,55.0,48.0,71.0,54.0,76.0,83.0,77.0,76.0,90.0,88.0,90.2,89.0
Crème Française,Guittard,4.0,USA,31.0,,,Crossover,32.0,81.0,36.0,18.0,77.0,67.0,72.0,76.0,76.0,76.0,86.0,87.3,88.6,88.0
Trinidad,Guittard,3.5,USA,65.0,Trinitario,Trinidad,Fruits,76.0,60.0,48.0,36.0,71.0,68.0,73.0,79.0,76.0,100.0,94.0,81.3,83.8,78.5
Ocumare 65%,Guittard,3.0,USA,65.0,Ocumare,Venezuela,Spices,52.0,47.0,33.0,64.0,76.0,62.0,51.0,34.0,65.0,86.0,94.0,73.3,81.2,77.0
Chuao,Christian Constant,2.0,France,68.0,Criollo,Venezuela,Crossover,41.0,76.0,47.0,18.0,76.0,52.0,58.0,34.0,62.0,74.0,69.0,70.7,80.6,60.5
Scharfes Schaf,Zotter,3.5,Austria,,Blend,Nicaragua,Spices,73.0,44.0,62.0,46.0,76.0,79.0,43.0,71.0,88.0,94.0,81.0,80.7,88.0,86.0
Côte d'Ivoire,Mars,3.5,USA,65.0,Amelonado,Ivory Coast,Spices,68.0,59.0,44.0,34.0,71.0,76.0,62.0,68.0,70.0,80.0,91.0,77.3,90.2,83.5
Nigeria,Mars,3.0,USA,65.0,Amelonado,Nigeria,Naked,81.0,52.0,21.0,48.0,77.0,74.0,10.0,79.0,24.0,66.0,74.0,72.7,87.0,79.0
Himbeer,Zotter,1.5,Austria,,Hybrid,Dominican Republic,Twang,16.0,77.0,91.0,7.0,34.0,79.0,26.0,34.0,65.0,96.0,64.0,77.3,65.4,70.5
Dark; Milk; & White Chocolate Bars,Ah Cacao,2.0,Mexico,,Criollo,Mexico,Earthen,34.0,60.0,21.0,47.0,54.0,46.0,34.0,56.0,59.0,76.0,73.0,68.7,73.4,66.0
Dark Almond,Moho,3.0,Belize,67.0,Hybrid,Belize,Earthen,76.0,56.0,37.0,34.0,61.0,65.0,56.0,51.0,68.0,86.0,79.0,69.3,85.2,75.5
Dark Ginger,Moho,3.0,Belize,67.0,Hybrid,Belize,Spices,71.0,64.0,49.0,16.0,54.0,52.0,56.0,65.0,69.0,82.0,81.0,78.0,86.4,79.0
Nib Bar,Moho,0.0,Belize,67.0,Hybrid,Belize,Fruits,68.0,77.0,58.0,12.0,60.0,79.0,71.0,64.0,76.0,92.0,92.0,82.7,95.8,89.0
Brooklyn Blend,Mast Brothers,3.5,USA,74.0,Blend,(Domincan Republic; Venezuela; Madagascar),Crossover,39.0,31.0,82.0,51.0,63.0,90.0,84.0,54.0,76.0,72.0,91.0,84.7,87.8,81.0
Mandel,Zotter,4.0,Austria,26.0,,Nicaragua,Crossover,21.0,77.0,40.0,14.0,51.0,62.0,70.0,78.0,76.0,80.0,84.0,78.0,92.4,92.0
Extra-Bitter 75%,Gobino,2.5,Italy,75.0,Blend,(predominantly Ecuador; secondarily Trinidad),Fruits,47.0,44.0,42.0,39.0,63.0,64.0,51.0,55.0,58.0,92.0,82.0,87.3,74.8,74.5
Chiapas 72%,Madre,2.5,USA,72.0,Blend,Mexico,Naked,51.0,50.0,28.0,49.0,14.0,72.0,31.0,44.0,69.0,92.0,89.0,74.7,72.8,74.0
"Chiapas ""Raw""",Madre,3.0,USA,72.0,Blend,Mexico,Naked,49.0,46.0,18.0,49.0,2.0,66.0,31.0,54.0,69.0,92.0,79.0,67.3,85.6,81.5
Raw Maya Spice,Madre,3.5,USA,72.0,Blend,Mexico,Spices,47.0,48.0,74.0,41.0,32.0,71.0,54.0,65.0,82.0,92.0,90.0,75.3,87.4,90.5
Cacahuaxochitl,Madre,1.0,USA,72.0,Blend,Mexico,Spices,18.0,79.0,31.0,24.0,2.0,91.0,16.0,19.0,94.0,92.0,71.0,45.3,60.8,63.0
