choco_bar_name,company_name,company_loc,rating,cocoa_perc,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality
Araguani,Valrhona,France,4.0,72.0,70.0,62.0,54.0,35.0,33.0,84.0,62.0,81.0,67.0,88.0,78.0,89.3,88.6,90.5
Lait,Valrhona,France,3.0,40.0,21.0,64.0,12.0,3.0,28.0,14.0,11.0,30.0,32.0,100.0,79.0,100.0,76.6,72.5
Cafe Noir 57%,Valrhona,France,4.0,57.0,53.0,76.0,50.0,24.0,31.0,30.0,80.0,82.0,94.0,94.0,83.0,88.0,88.2,90.0
Dominican 80,Taza,USA,2.0,80.0,21.0,30.0,83.0,79.0,32.0,64.0,60.0,34.0,53.0,74.0,64.0,81.3,73.2,65.5
Mexicano,Taza,USA,2.5,50.0,34.0,96.0,48.0,3.0,61.0,57.0,22.0,43.0,45.0,94.0,81.0,75.3,80.4,73.0
Bread & Chocolate,Theo,USA,2.5,65.0,56.0,51.0,30.0,36.0,43.0,42.0,44.0,58.0,37.0,68.0,69.0,95.3,76.8,80.5
Dominican 60,Taza,USA,3.0,60.0,39.0,52.0,44.0,32.0,28.0,60.0,46.0,51.0,49.0,86.0,70.0,89.3,78.8,88.0
Iara Banana/Ginger,Coppeneur,Germany,0.5,72.0,41.0,49.0,94.0,22.0,81.0,92.0,16.0,25.0,73.0,94.0,71.0,59.3,59.2,39.0
75%,Corallo,San,3.5,75.0,59.0,38.0,43.0,37.0,68.0,29.0,22.0,69.0,73.0,92.0,83.0,85.3,84.2,90.0
Abinao,Valrhona,France,3.5,85.0,34.0,61.0,81.0,69.0,33.0,84.0,56.0,77.0,90.0,80.0,82.0,91.3,82.8,84.5
Java w/ Coffee /Cinnamon,Coppeneur,Germany,4.5,52.0,42.0,71.0,41.0,29.0,67.0,76.0,84.0,90.0,35.0,100.0,79.0,87.3,93.8,93.0
75% with Nibs,Corallo,San,5.0,75.0,44.0,42.0,51.0,43.0,64.0,57.0,70.0,72.0,68.0,100.0,89.0,100.0,88.2,10.0
Favas de Cacau,Corallo,San,2.5,100.0,4.0,3.0,41.0,63.0,65.0,94.0,52.0,39.0,98.0,64.0,88.0,67.3,71.8,93.5
100%,Corallo,San,2.0,100.0,7.0,14.0,22.0,73.0,69.0,90.0,12.0,16.0,73.0,82.0,72.0,72.7,62.6,87.0
Gran Kru,Corallo,San,4.5,70.0,18.0,59.0,64.0,31.0,44.0,95.0,91.0,77.0,89.0,100.0,87.0,88.0,90.2,98.0
Mexican/Costa Rica,Taza,USA,2.5,70.0,41.0,17.0,83.0,80.0,30.0,88.0,76.0,64.0,90.0,92.0,75.0,88.0,74.0,75.5
73.5% w/ Nibs,Corallo,San,4.0,0.5,68.0,35.0,54.0,49.0,66.0,51.0,34.0,57.0,63.0,100.0,87.0,82.7,85.8,91.0
80% w/ Sugar Crystals,Corallo,San,3.5,80.0,47.0,46.0,22.0,34.0,68.0,29.0,18.0,55.0,61.0,84.0,71.0,93.3,82.2,91.5
Saffron & Orange,Coppeneur,Germany,1.5,72.0,18.0,92.0,96.0,7.0,68.0,99.0,21.0,70.0,88.0,92.0,69.0,62.0,67.2,70.5
